 format: day,hour,forecast,value  location:54_126 Start : 20200801 
 4,1100,+34,20.000000 
 4,1100,+40,40.000000 
 4,1100,+46,20.000000 
 4,1100,+52,70.000000 
 4,1400,+7,100.000000 
 4,1400,+13,100.000000 
 4,1400,+19,100.000000 
 4,1400,+25,40.000000 
 4,1400,+31,20.000000 
 4,1400,+37,40.000000 
 4,1400,+43,20.000000 
 4,1400,+49,70.000000 
 4,1700,+4,100.000000 
 4,1700,+10,100.000000 
 4,1700,+16,100.000000 
 4,1700,+22,40.000000 
 4,1700,+28,20.000000 
 4,1700,+34,40.000000 
 4,1700,+40,20.000000 
 4,1700,+46,70.000000 
 4,2000,+7,70.000000 
 4,2000,+13,100.000000 
 4,2000,+19,40.000000 
 4,2000,+25,20.000000 
 4,2000,+31,40.000000 
 4,2000,+37,20.000000 
 4,2000,+43,70.000000 
 4,2000,+49,0.000000 
 4,2000,+55,10.000000 
 4,2000,+61,10.000000 
 4,2000,+67,10.000000 
 4,2300,+4,70.000000 
 4,2300,+10,100.000000 
 4,2300,+16,40.000000 
 4,2300,+22,20.000000 
 4,2300,+28,40.000000 
 4,2300,+34,20.000000 
 4,2300,+40,70.000000 
 4,2300,+46,0.000000 
 4,2300,+52,10.000000 
 4,2300,+58,10.000000 
 4,2300,+64,20.000000 
 5,0200,+7,70.000000 
 5,0200,+13,40.000000 
 5,0200,+19,20.000000 
 5,0200,+25,40.000000 
 5,0200,+31,20.000000 
 5,0200,+37,70.000000 
 5,0200,+43,0.000000 
 5,0200,+49,10.000000 
 5,0200,+55,10.000000 
 5,0200,+61,20.000000 
 5,0500,+4,70.000000 
 5,0500,+10,40.000000 
 5,0500,+16,40.000000 
 5,0500,+22,40.000000 
 5,0500,+28,20.000000 
 5,0500,+34,70.000000 
 5,0500,+40,0.000000 
 5,0500,+46,10.000000 
 5,0500,+52,10.000000 
 5,0500,+58,20.000000 
 5,0800,+7,70.000000 
 5,0800,+13,70.000000 
 5,0800,+19,40.000000 
 5,0800,+25,20.000000 
 5,0800,+31,0.000000 
 5,0800,+37,0.000000 
 5,0800,+43,0.000000 
 5,0800,+49,0.000000 
 5,0800,+55,20.000000 
 5,1100,+4,100.000000 
 5,1100,+10,70.000000 
 5,1100,+16,40.000000 
 5,1100,+22,20.000000 
 5,1100,+28,0.000000 
 5,1100,+34,0.000000 
 5,1100,+40,0.000000 
 5,1100,+46,0.000000 
 5,1100,+52,20.000000 
 5,1400,+7,70.000000 
 5,1400,+13,40.000000 
 5,1400,+19,20.000000 
 5,1400,+25,0.000000 
 5,1400,+31,0.000000 
 5,1400,+37,0.000000 
 5,1400,+43,0.000000 
 5,1400,+49,20.000000 
 5,1700,+4,70.000000 
 5,1700,+10,40.000000 
 5,1700,+16,20.000000 
 5,1700,+22,0.000000 
 5,1700,+28,0.000000 
 5,1700,+34,0.000000 
 5,1700,+40,0.000000 
 5,1700,+46,20.000000 
 5,2000,+7,40.000000 
 5,2000,+13,0.000000 
 5,2000,+19,0.000000 
 5,2000,+25,0.000000 
 5,2000,+31,0.000000 
 5,2000,+37,0.000000 
 5,2000,+43,10.000000 
 5,2000,+49,40.000000 
 5,2000,+55,40.000000 
 5,2000,+61,40.000000 
 5,2000,+67,20.000000 
 5,2300,+4,40.000000 
 5,2300,+10,0.000000 
 5,2300,+16,0.000000 
 5,2300,+22,0.000000 
 5,2300,+28,0.000000 
 5,2300,+34,0.000000 
